nodeId,timestamp,cpu_wio,mem_free,Missed Buffers_P1,cpu_user,bytes_out,proc_run,bytes_in,pkts_out
node-000,2024-01-01 20:04:00,0.0887,8637839.0192,0.9853,1.0745,155788.7387,8.9449,6157406.6693,922.0071
node-001,2024-01-01 20:04:00,0.2018,8965260.4558,0.0,5.3123,113059.3527,9.1209,6233081.0394,897.5475
node-002,2024-01-01 20:04:00,0.0971,9223336.9177,0.0,1.3223,101749.5953,8.9647,6224800.2736,988.1734
node-003,2024-01-01 20:04:00,0.0993,10157387.4088,0.1464,0.8131,117419.5385,12.9024,6200565.3118,937.0205
node-004,2024-01-01 20:04:00,0.1177,9502914.4088,0.0,1.0836,89360.3587,10.0283,6216809.275,954.4096
node-005,2024-01-01 20:04:00,0.0718,8116953.4213,0.0,0.9051,120952.5005,7.1452,6152540.8046,953.7555
node-006,2024-01-01 20:04:00,0.0,9751490.6484,0.0,0.2063,124041.9924,2.997,6165867.2039,880.7912
node-007,2024-01-01 20:04:00,0.1126,8847156.6756,0.0,0.7795,121202.9135,6.7932,6245804.1659,963.909
node-008,2024-01-01 20:04:00,0.094,9519481.297,0.0,0.7936,124718.376,5.9206,6198233.7927,947.287
node-009,2024-01-01 20:04:00,0.0864,10041653.6389,0.0,0.89,124456.1227,13.0211,6296675.0138,961.8924
node-010,2024-01-01 20:04:00,0.0983,8984066.7087,1.3335,1.4054,108534.0025,7.9743,6199551.2244,955.4616
node-011,2024-01-01 20:04:00,0.1017,8979256.4979,0.0,0.8789,124046.8022,6.9047,6130634.1037,945.3864
node-012,2024-01-01 20:04:00,0.1163,9008093.3211,0.0,1.0712,138351.8496,6.3498,6214063.6022,978.1767
node-013,2024-01-01 20:04:00,0.1339,9353381.204,0.3946,1.0498,154513.0505,0.0,46170.4364,939.1949
node-014,2024-01-01 20:04:00,0.0854,10476950.2868,0.8352,0.8798,127356.4095,7.0443,6195622.8393,935.636
node-015,2024-01-01 20:04:00,0.0,8886231.5839,0.0,0.2142,134360.1071,1.9062,6200115.318,890.8542
node-016,2024-01-01 20:04:00,0.0855,8935964.815,0.0,0.7874,126010.1226,6.2405,6163430.7822,967.6799
node-017,2024-01-01 20:04:00,0.0878,10491642.7539,0.41,0.7418,144737.3915,6.8168,6319159.9869,945.8378
node-018,2024-01-01 20:04:00,0.0976,9674244.0752,0.0,0.9835,131488.4922,5.0479,6212298.772,937.0652
node-019,2024-01-01 20:04:00,0.092,9360417.8673,0.1624,0.9723,121501.4211,7.0057,6167037.61,952.8478
node-020,2024-01-01 20:04:00,0.1239,9835301.6723,0.0,1.0028,149773.5559,10.1209,6205385.4732,962.1497
node-021,2024-01-01 20:04:00,0.1024,9267072.5628,0.4367,1.6108,94973.5801,5.9661,6211960.2088,958.2021
node-022,2024-01-01 20:04:00,0.0944,9173881.449,0.0,0.706,121444.9539,6.0176,6132074.2058,971.614
node-023,2024-01-01 20:04:00,0.0,8423385.7354,0.0,0.7905,117852.7317,6.0167,6195825.6408,898.5975
node-024,2024-01-01 20:04:00,0.0999,9038783.0312,0.7031,0.703,117275.3606,10.9931,6210597.9524,895.5126
node-025,2024-01-01 20:04:00,0.0062,10843515.3931,0.4072,0.7853,129400.609,7.9593,6166737.5706,920.1163
node-026,2024-01-01 20:04:00,0.0,9906910.5344,1.383,0.1912,144700.838,3.0708,6081489.6993,877.9797
node-027,2024-01-01 20:04:00,0.0899,8922893.0311,0.0,0.9114,123651.0646,6.9943,6273398.8712,950.1162
node-028,2024-01-01 20:04:00,0.1073,9941811.7173,0.0,0.8946,122537.0627,7.0068,6159272.4522,916.0794
node-029,2024-01-01 20:04:00,0.0735,9164980.704,0.0,0.7938,120440.2305,8.0133,6340820.4426,938.8984
node-030,2024-01-01 20:04:00,0.115,8983491.4023,0.123,0.8583,127700.6751,5.8902,6172341.1513,967.1758
node-031,2024-01-01 20:04:00,0.0099,29380997.0327,1.1526,0.0906,206.5603,0.0,0.0,0.0
node-032,2024-01-01 20:04:00,0.1278,8823733.5531,1.185,1.1908,111259.0753,8.0105,6344077.448,962.5962
node-033,2024-01-01 20:04:00,0.1135,9477210.4882,0.0,0.7938,123942.0917,8.0026,6109459.8916,955.6029
node-034,2024-01-01 20:04:00,0.0,8573321.6983,0.0,0.2146,150003.976,5.905,6216068.2264,895.407
node-035,2024-01-01 20:04:00,0.1011,10978662.581,0.248,0.8902,136228.1149,6.056,6173656.7591,940.5814
node-036,2024-01-01 20:04:00,0.1233,9542526.4861,1.0951,1.298,108368.1603,9.047,6251074.5853,945.5322
node-037,2024-01-01 20:04:00,0.1015,9257262.2074,0.4778,0.821,121182.6317,7.8969,6262105.5677,947.9366
node-038,2024-01-01 20:04:00,0.104,8254627.9675,0.0,0.8501,122673.8915,7.964,6146053.4938,949.4791
node-039,2024-01-01 20:04:00,0.0948,10296557.6132,0.1663,0.6991,136055.2341,6.9224,6247406.7805,949.3502
node-040,2024-01-01 20:04:00,0.0,9715030.1161,0.0,0.1084,160705.678,3.0855,6286376.8317,887.009
node-041,2024-01-01 20:04:00,0.0915,8991552.9712,0.4922,0.8115,108182.4127,7.0262,6148214.8251,945.8828
node-042,2024-01-01 20:04:00,0.0891,9051262.6959,0.3167,1.0109,99314.0156,5.0436,6269320.4728,945.3812
node-043,2024-01-01 20:04:00,0.0961,9952917.7489,0.0,0.7106,120878.7096,7.0614,6137387.6577,937.1425
node-044,2024-01-01 20:04:00,0.0754,9092411.9492,0.0,1.007,115471.3319,6.9276,6287210.9437,919.4148
node-045,2024-01-01 20:04:00,0.066,9011892.2657,0.0,1.0932,96476.3762,7.9363,6309288.6161,972.5344
node-046,2024-01-01 20:04:00,0.0745,8563276.3398,0.0,0.7805,114798.3458,9.0633,6155801.8909,950.1373
node-047,2024-01-01 20:04:00,0.0983,8463719.5005,0.116,0.8016,95361.1981,6.051,6173485.1798,943.889
node-048,2024-01-01 20:04:00,0.102,9052804.288,0.0,0.7779,117008.3561,6.9938,6202703.5414,918.4828
node-049,2024-01-01 20:04:00,0.0122,8128642.7587,0.5964,0.1044,120441.9175,3.1437,6242878.7816,872.1796
node-050,2024-01-01 20:04:00,0.0,8363624.9166,0.4177,0.1892,79175.9716,4.7093,6245910.16,916.8457
node-051,2024-01-01 20:04:00,0.0992,9450437.0378,1.1748,1.8841,159994.5483,8.9693,6154537.019,954.4463
node-052,2024-01-01 20:04:00,0.0864,8952745.0158,0.0,0.7825,124678.1102,10.9954,6195063.1368,939.2343
node-053,2024-01-01 20:04:00,0.0941,10171216.5513,0.2583,1.0264,101848.5804,7.9151,6133670.7065,957.0341
node-054,2024-01-01 20:04:00,0.1016,8872247.7935,0.1238,0.8571,132697.0157,5.0777,6161067.9521,948.6548
node-055,2024-01-01 20:04:00,0.1106,9022407.8989,0.4271,0.8128,124362.6898,8.1021,6199132.4232,948.6968
node-056,2024-01-01 20:04:00,0.1182,9571582.2361,0.0,0.71,132084.7197,6.9449,6155338.2606,919.7567
node-057,2024-01-01 20:04:00,0.1014,7671057.903,0.0,1.0873,112135.5794,6.0645,6125969.4302,930.065
node-058,2024-01-01 20:04:00,0.1006,9538376.1797,0.4636,1.1747,156711.7735,5.9241,6261541.0808,958.6674
node-059,2024-01-01 20:04:00,0.1144,9766289.8554,0.0613,0.7877,73189.0736,12.0789,6186687.0918,930.6065
node-060,2024-01-01 20:04:00,0.0872,9132730.4674,0.0,1.2028,132717.7887,6.1573,6182301.6047,935.5892
node-061,2024-01-01 20:04:00,0.1126,9274660.3388,1.3042,0.9925,125396.4412,7.0805,6181523.6065,957.7565
node-062,2024-01-01 20:04:00,0.1036,9426385.3064,0.0,0.8902,80495.3055,4.9379,6245135.1751,949.4142
node-063,2024-01-01 20:04:00,0.0883,8843896.2255,0.0,6.1103,134204.4844,6.9383,6242102.2352,941.8283
node-064,2024-01-01 20:04:00,0.0772,9898820.0829,0.0,0.8977,121679.3067,8.8896,6243655.0363,953.2173
node-065,2024-01-01 20:04:00,0.0944,9626811.7889,0.0,1.1025,119828.7764,9.5987,6279835.6701,943.8842
node-066,2024-01-01 20:04:00,0.1041,9212720.4211,0.0,0.9691,101453.2406,10.6618,6250124.3252,961.7935
node-067,2024-01-01 20:04:00,0.0914,8726021.273,0.1659,0.6597,122320.2221,4.9379,6203095.8033,944.9379
node-068,2024-01-01 20:04:00,0.0961,9710818.1347,0.0,1.8078,117115.1815,9.0068,6248174.4315,931.4245
node-069,2024-01-01 20:04:00,0.0892,8990801.7068,13.8674,0.9817,135303.3929,7.0308,6202184.1882,950.6015
node-070,2024-01-01 20:04:00,0.008,8875168.908,0.6551,1.0841,117737.8596,7.1696,6411029.9462,928.0595
node-071,2024-01-01 20:04:00,0.0873,9010283.8344,0.7195,0.8747,111541.7181,6.9173,6254437.719,959.3725
node-072,2024-01-01 20:04:00,0.0,106250473.5641,0.6206,0.2135,132555.0463,4.9306,6205414.4551,896.0155
