nodeId,timestamp,cpu_wio,mem_free,Missed Buffers_P1,cpu_user,bytes_out,proc_run,bytes_in,pkts_out
node-045,2024-01-01 00:00:00,0.0269,0.0,0.1407,1.0118,0.0,0.0,6236995.4836,957.6686
node-045,2024-01-01 00:04:45,0.2828,3463090.2154,0.9227,1.177,125144.0272,11.9248,6344189.9794,956.3724
node-089,2024-01-01 00:04:45,0.096,3572211.7454,0.311,1.3079,117957.8257,6.9037,6200210.0697,945.0254
node-045,2024-01-01 00:09:30,0.1228,3174394.837,0.7039,0.935,115571.8096,11.938,6142041.5588,955.3372
node-089,2024-01-01 00:09:30,0.103,3489017.0231,0.0,1.4054,95634.4161,8.8262,6398113.7349,971.7558
node-113,2024-01-01 00:09:30,0.1037,3174933.265,0.4904,0.8033,122770.2924,16.0263,6191560.5012,970.8603
node-045,2024-01-01 00:14:15,0.08,3447789.7283,0.0,0.7852,131570.308,9.0579,6159805.7752,955.7583
node-082,2024-01-01 00:14:15,0.014,2123257.7206,0.1976,0.1665,142886.8568,3.1504,6177482.1187,895.7807
node-089,2024-01-01 00:14:15,0.006,3436773.8894,0.8676,1.1082,103244.1482,10.0541,6211249.6782,948.643
node-113,2024-01-01 00:14:15,0.1246,3550063.4785,0.8082,0.7887,94351.9822,9.8919,6177991.9586,960.0173
node-116,2024-01-01 00:14:15,0.0893,3642408.4405,0.0,1.184,136277.3317,8.8838,6149935.6599,971.5692
node-045,2024-01-01 00:19:00,0.0963,3316262.742,0.0212,1.1108,120822.6323,8.755,6180942.7283,948.1667
node-082,2024-01-01 00:19:00,0.0,1875128.8747,0.0,0.2061,127663.9358,3.8739,6074673.2016,919.0475
node-089,2024-01-01 00:19:00,0.0769,4121293.0569,1.2354,1.7243,102996.2159,9.6001,6259718.6797,950.4308
node-113,2024-01-01 00:19:00,0.1107,3388670.8949,0.3594,0.9924,127495.0588,11.1063,6250135.1213,940.8414
node-115,2024-01-01 00:19:00,0.0844,3908116.4193,0.2418,0.9943,106774.3582,7.9345,6247987.8013,931.6757
node-116,2024-01-01 00:19:00,0.0753,3797745.3753,0.0,0.9988,116301.8836,9.0722,6191482.009,936.6143
node-045,2024-01-01 00:23:45,0.1489,3285060.9691,0.6305,0.828,113081.3955,5.9838,6235410.6218,950.886
node-082,2024-01-01 00:23:45,0.0053,1644458.8346,0.0,0.1991,137110.505,3.985,6223768.2446,895.7994
node-089,2024-01-01 00:23:45,0.1274,3288933.5771,0.3463,1.8769,101140.1364,10.0433,6190623.441,949.7834
node-113,2024-01-01 00:23:45,0.1335,3301435.7916,0.0,1.0841,127755.1618,8.9269,6211073.3229,963.9718
node-115,2024-01-01 00:23:45,0.0829,4037963.9499,0.1148,0.8036,130807.5142,6.9031,6244679.57,942.1568
node-116,2024-01-01 00:23:45,0.007,3445991.3096,0.0,0.9149,119076.2325,8.0686,6235658.2353,957.1322
node-045,2024-01-01 00:28:30,0.0897,3032290.3957,0.1736,1.0129,126867.6207,20.1363,6247236.4767,954.6805
node-082,2024-01-01 00:28:30,0.0045,1760204.7951,0.0077,0.2013,106266.7429,5.9971,6356527.0142,905.3946
node-089,2024-01-01 00:28:30,0.0863,3337019.6344,0.0,1.3953,122813.686,10.008,6233936.5846,946.7466
node-102,2024-01-01 00:28:30,0.0834,4400862.5873,0.0,1.0092,2085.0175,7.0726,6137057.7979,948.3187
node-113,2024-01-01 00:28:30,0.093,3547481.9023,0.6287,0.8954,124180.3095,7.919,6208616.8272,976.2613
